,uid,species,island,sex
39,649bc5d39b21a1b93e0985cb,Adelie,Dream,FEMALE
40,649bc5d39b21a1b93e0985cc,Adelie,Dream,MALE
41,649bc5d39b21a1b93e0985cd,Adelie,Dream,FEMALE
42,649bc5d39b21a1b93e0985ce,Adelie,Dream,MALE
43,649bc5d39b21a1b93e0985cf,Adelie,Dream,FEMALE
44,649bc5d39b21a1b93e0985d0,Adelie,Dream,MALE
45,649bc5d39b21a1b93e0985d1,Adelie,Dream,MALE
46,649bc5d39b21a1b93e0985d2,Adelie,Dream,MALE
47,649bc5d39b21a1b93e0985d3,Adelie,Dream,FEMALE
48,649bc5d39b21a1b93e0985d4,Adelie,Dream,MALE
49,649bc5d39b21a1b93e0985d5,Adelie,Biscoe,FEMALE
50,649bc5d39b21a1b93e0985d6,Adelie,Biscoe,MALE
51,649bc5d39b21a1b93e0985d7,Adelie,Biscoe,FEMALE
52,649bc5d39b21a1b93e0985d8,Adelie,Biscoe,MALE
53,649bc5d39b21a1b93e0985d9,Adelie,Biscoe,FEMALE
54,649bc5d39b21a1b93e0985da,Adelie,Biscoe,MALE
55,649bc5d39b21a1b93e0985db,Adelie,Biscoe,FEMALE
56,649bc5d39b21a1b93e0985dc,Adelie,Biscoe,MALE
57,649bc5d39b21a1b93e0985dd,Adelie,Biscoe,FEMALE
58,649bc5d39b21a1b93e0985de,Adelie,Biscoe,MALE
59,649bc5d39b21a1b93e0985df,Adelie,Biscoe,FEMALE
60,649bc5d39b21a1b93e0985e0,Adelie,Biscoe,MALE
61,649bc5d39b21a1b93e0985e1,Adelie,Biscoe,FEMALE
62,649bc5d39b21a1b93e0985e2,Adelie,Biscoe,MALE
63,649bc5d39b21a1b93e0985e3,Adelie,Biscoe,FEMALE
64,649bc5d39b21a1b93e0985e4,Adelie,Biscoe,MALE
65,649bc5d39b21a1b93e0985e5,Adelie,Biscoe,FEMALE
66,649bc5d39b21a1b93e0985e6,Adelie,Biscoe,MALE
67,649bc5d39b21a1b93e0985e7,Adelie,Torgersen,FEMALE
68,649bc5d39b21a1b93e0985e8,Adelie,Torgersen,MALE
69,649bc5d39b21a1b93e0985e9,Adelie,Torgersen,FEMALE
70,649bc5d39b21a1b93e0985ea,Adelie,Torgersen,MALE
71,649bc5d39b21a1b93e0985eb,Adelie,Torgersen,FEMALE
72,649bc5d39b21a1b93e0985ec,Adelie,Torgersen,MALE
73,649bc5d39b21a1b93e0985ed,Adelie,Torgersen,FEMALE
74,649bc5d39b21a1b93e0985ee,Adelie,Torgersen,MALE
75,649bc5d39b21a1b93e0985ef,Adelie,Torgersen,FEMALE
76,649bc5d39b21a1b93e0985f0,Adelie,Torgersen,MALE
77,649bc5d39b21a1b93e0985f1,Adelie,Torgersen,FEMALE
78,649bc5d39b21a1b93e0985f2,Adelie,Torgersen,MALE
79,649bc5d39b21a1b93e0985f3,Adelie,Torgersen,FEMALE
80,649bc5d39b21a1b93e0985f4,Adelie,Torgersen,MALE
81,649bc5d39b21a1b93e0985f5,Adelie,Torgersen,FEMALE
82,649bc5d39b21a1b93e0985f6,Adelie,Torgersen,MALE
83,649bc5d39b21a1b93e0985f7,Adelie,Dream,FEMALE
84,649bc5d39b21a1b93e0985f8,Adelie,Dream,MALE
85,649bc5d39b21a1b93e0985f9,Adelie,Dream,MALE
86,649bc5d39b21a1b93e0985fa,Adelie,Dream,FEMALE
87,649bc5d39b21a1b93e0985fb,Adelie,Dream,MALE
88,649bc5d39b21a1b93e0985fc,Adelie,Dream,FEMALE
89,649bc5d39b21a1b93e0985fd,Adelie,Dream,FEMALE
90,649bc5d39b21a1b93e0985fe,Adelie,Dream,MALE
91,649bc5d39b21a1b93e0985ff,Adelie,Dream,FEMALE
92,649bc5d39b21a1b93e098600,Adelie,Dream,MALE
93,649bc5d39b21a1b93e098601,Adelie,Dream,FEMALE
94,649bc5d39b21a1b93e098602,Adelie,Dream,MALE
95,649bc5d39b21a1b93e098603,Adelie,Dream,FEMALE
96,649bc5d39b21a1b93e098604,Adelie,Dream,MALE
97,649bc5d39b21a1b93e098605,Adelie,Dream,FEMALE
98,649bc5d39b21a1b93e098606,Adelie,Dream,MALE
99,649bc5d39b21a1b93e098607,Adelie,Biscoe,FEMALE
100,649bc5d39b21a1b93e098608,Adelie,Biscoe,MALE
101,649bc5d39b21a1b93e098609,Adelie,Biscoe,FEMALE
102,649bc5d39b21a1b93e09860a,Adelie,Biscoe,MALE
103,649bc5d39b21a1b93e09860b,Adelie,Biscoe,FEMALE
104,649bc5d39b21a1b93e09860c,Adelie,Biscoe,MALE
105,649bc5d39b21a1b93e09860d,Adelie,Biscoe,FEMALE
106,649bc5d39b21a1b93e09860e,Adelie,Biscoe,MALE
107,649bc5d39b21a1b93e09860f,Adelie,Biscoe,FEMALE
108,649bc5d39b21a1b93e098610,Adelie,Biscoe,MALE
109,649bc5d39b21a1b93e098611,Adelie,Biscoe,FEMALE
110,649bc5d39b21a1b93e098612,Adelie,Biscoe,MALE
111,649bc5d39b21a1b93e098613,Adelie,Biscoe,FEMALE
112,649bc5d39b21a1b93e098614,Adelie,Biscoe,MALE
113,649bc5d39b21a1b93e098615,Adelie,Biscoe,FEMALE
114,649bc5d39b21a1b93e098616,Adelie,Biscoe,MALE
115,649bc5d39b21a1b93e098617,Adelie,Torgersen,FEMALE
116,649bc5d39b21a1b93e098618,Adelie,Torgersen,MALE
117,649bc5d39b21a1b93e098619,Adelie,Torgersen,FEMALE
118,649bc5d39b21a1b93e09861a,Adelie,Torgersen,MALE
119,649bc5d39b21a1b93e09861b,Adelie,Torgersen,FEMALE
120,649bc5d39b21a1b93e09861c,Adelie,Torgersen,MALE
121,649bc5d39b21a1b93e09861d,Adelie,Torgersen,FEMALE
122,649bc5d39b21a1b93e09861e,Adelie,Torgersen,MALE
123,649bc5d39b21a1b93e09861f,Adelie,Torgersen,FEMALE
124,649bc5d39b21a1b93e098620,Adelie,Torgersen,MALE
125,649bc5d39b21a1b93e098621,Adelie,Torgersen,FEMALE
126,649bc5d39b21a1b93e098622,Adelie,Torgersen,MALE
127,649bc5d39b21a1b93e098623,Adelie,Torgersen,FEMALE
128,649bc5d39b21a1b93e098624,Adelie,Torgersen,MALE
129,649bc5d39b21a1b93e098625,Adelie,Torgersen,FEMALE
130,649bc5d39b21a1b93e098626,Adelie,Torgersen,MALE
131,649bc5d39b21a1b93e098627,Adelie,Dream,FEMALE
132,649bc5d39b21a1b93e098628,Adelie,Dream,MALE
133,649bc5d39b21a1b93e098629,Adelie,Dream,FEMALE
134,649bc5d39b21a1b93e09862a,Adelie,Dream,MALE
135,649bc5d39b21a1b93e09862b,Adelie,Dream,FEMALE
136,649bc5d39b21a1b93e09862c,Adelie,Dream,MALE
137,649bc5d39b21a1b93e09862d,Adelie,Dream,FEMALE
138,649bc5d39b21a1b93e09862e,Adelie,Dream,MALE
139,649bc5d39b21a1b93e09862f,Adelie,Dream,FEMALE
140,649bc5d39b21a1b93e098630,Adelie,Dream,MALE
141,649bc5d39b21a1b93e098631,Adelie,Dream,FEMALE
142,649bc5d39b21a1b93e098632,Adelie,Dream,MALE
143,649bc5d39b21a1b93e098633,Adelie,Dream,FEMALE
144,649bc5d39b21a1b93e098634,Adelie,Dream,MALE
145,649bc5d39b21a1b93e098635,Adelie,Dream,MALE
146,649bc5d39b21a1b93e098636,Adelie,Dream,FEMALE
147,649bc5d39b21a1b93e098637,Adelie,Dream,FEMALE
148,649bc5d39b21a1b93e098638,Adelie,Dream,MALE
149,649bc5d39b21a1b93e098639,Adelie,Dream,FEMALE
150,649bc5d39b21a1b93e09863a,Adelie,Dream,MALE
151,649bc5d39b21a1b93e09863b,Chinstrap,Dream,FEMALE
152,649bc5d39b21a1b93e09863c,Chinstrap,Dream,MALE
153,649bc5d39b21a1b93e09863d,Chinstrap,Dream,MALE
154,649bc5d39b21a1b93e09863e,Chinstrap,Dream,FEMALE
155,649bc5d39b21a1b93e09863f,Chinstrap,Dream,MALE
156,649bc5d39b21a1b93e098640,Chinstrap,Dream,FEMALE
157,649bc5d39b21a1b93e098641,Chinstrap,Dream,FEMALE
158,649bc5d39b21a1b93e098642,Chinstrap,Dream,MALE
159,649bc5d39b21a1b93e098643,Chinstrap,Dream,FEMALE
160,649bc5d39b21a1b93e098644,Chinstrap,Dream,MALE
161,649bc5d39b21a1b93e098645,Chinstrap,Dream,FEMALE
162,649bc5d39b21a1b93e098646,Chinstrap,Dream,MALE
163,649bc5d39b21a1b93e098647,Chinstrap,Dream,FEMALE
164,649bc5d39b21a1b93e098648,Chinstrap,Dream,MALE
165,649bc5d39b21a1b93e098649,Chinstrap,Dream,FEMALE
166,649bc5d39b21a1b93e09864a,Chinstrap,Dream,MALE
167,649bc5d39b21a1b93e09864b,Chinstrap,Dream,MALE
168,649bc5d39b21a1b93e09864c,Chinstrap,Dream,FEMALE
169,649bc5d39b21a1b93e09864d,Chinstrap,Dream,FEMALE
170,649bc5d39b21a1b93e09864e,Chinstrap,Dream,MALE
171,649bc5d39b21a1b93e09864f,Chinstrap,Dream,FEMALE
172,649bc5d39b21a1b93e098650,Chinstrap,Dream,MALE
173,649bc5d39b21a1b93e098651,Chinstrap,Dream,FEMALE
174,649bc5d39b21a1b93e098652,Chinstrap,Dream,MALE
175,649bc5d39b21a1b93e098653,Chinstrap,Dream,FEMALE
176,649bc5d39b21a1b93e098654,Chinstrap,Dream,MALE
177,649bc5d39b21a1b93e098655,Chinstrap,Dream,FEMALE
178,649bc5d39b21a1b93e098656,Chinstrap,Dream,MALE
179,649bc5d39b21a1b93e098657,Chinstrap,Dream,FEMALE
180,649bc5d39b21a1b93e098658,Chinstrap,Dream,MALE
181,649bc5d39b21a1b93e098659,Chinstrap,Dream,FEMALE
182,649bc5d39b21a1b93e09865a,Chinstrap,Dream,MALE
183,649bc5d39b21a1b93e09865b,Chinstrap,Dream,FEMALE
184,649bc5d39b21a1b93e09865c,Chinstrap,Dream,MALE
185,649bc5d39b21a1b93e09865d,Chinstrap,Dream,MALE
186,649bc5d39b21a1b93e09865e,Chinstrap,Dream,FEMALE
187,649bc5d39b21a1b93e09865f,Chinstrap,Dream,FEMALE
188,649bc5d39b21a1b93e098660,Chinstrap,Dream,MALE
189,649bc5d39b21a1b93e098662,Chinstrap,Dream,FEMALE
190,649bc5d39b21a1b93e098661,Chinstrap,Dream,MALE
191,649bc5d39b21a1b93e098663,Chinstrap,Dream,MALE
192,649bc5d39b21a1b93e098664,Chinstrap,Dream,FEMALE
193,649bc5d39b21a1b93e098665,Chinstrap,Dream,MALE
194,649bc5d39b21a1b93e098666,Chinstrap,Dream,FEMALE
195,649bc5d39b21a1b93e098667,Chinstrap,Dream,FEMALE
196,649bc5d39b21a1b93e098668,Chinstrap,Dream,MALE
197,649bc5d39b21a1b93e098669,Chinstrap,Dream,FEMALE
198,649bc5d39b21a1b93e09866a,Chinstrap,Dream,MALE
199,649bc5d39b21a1b93e09866b,Chinstrap,Dream,MALE
200,649bc5d39b21a1b93e09866c,Chinstrap,Dream,FEMALE
201,649bc5d39b21a1b93e09866d,Chinstrap,Dream,FEMALE
202,649bc5d39b21a1b93e09866e,Chinstrap,Dream,MALE
203,649bc5d39b21a1b93e09866f,Chinstrap,Dream,FEMALE
204,649bc5d39b21a1b93e098670,Chinstrap,Dream,MALE
205,649bc5d39b21a1b93e098671,Chinstrap,Dream,FEMALE
206,649bc5d39b21a1b93e098672,Chinstrap,Dream,MALE
207,649bc5d39b21a1b93e098673,Chinstrap,Dream,FEMALE
208,649bc5d39b21a1b93e098674,Chinstrap,Dream,MALE
209,649bc5d39b21a1b93e098675,Chinstrap,Dream,MALE
210,649bc5d39b21a1b93e098676,Chinstrap,Dream,FEMALE
211,649bc5d39b21a1b93e098677,Chinstrap,Dream,MALE
212,649bc5d39b21a1b93e098678,Chinstrap,Dream,FEMALE
213,649bc5d39b21a1b93e098679,Chinstrap,Dream,FEMALE
214,649bc5d39b21a1b93e09867a,Chinstrap,Dream,MALE
215,649bc5d39b21a1b93e09867b,Chinstrap,Dream,FEMALE
216,649bc5d39b21a1b93e09867c,Chinstrap,Dream,MALE
217,649bc5d39b21a1b93e09867d,Chinstrap,Dream,MALE
218,649bc5d39b21a1b93e09867e,Chinstrap,Dream,FEMALE
219,649bc5d39b21a1b93e09867f,Gentoo,Biscoe,FEMALE
220,649bc5d39b21a1b93e098680,Gentoo,Biscoe,MALE
221,649bc5d39b21a1b93e098681,Gentoo,Biscoe,FEMALE
222,649bc5d39b21a1b93e098682,Gentoo,Biscoe,MALE
223,649bc5d39b21a1b93e098683,Gentoo,Biscoe,MALE
224,649bc5d39b21a1b93e098684,Gentoo,Biscoe,FEMALE
225,649bc5d39b21a1b93e098685,Gentoo,Biscoe,FEMALE
226,649bc5d39b21a1b93e098686,Gentoo,Biscoe,MALE
227,649bc5d39b21a1b93e098687,Gentoo,Biscoe,FEMALE
228,649bc5d39b21a1b93e098688,Gentoo,Biscoe,MALE
229,649bc5d39b21a1b93e098689,Gentoo,Biscoe,FEMALE
230,649bc5d39b21a1b93e09868a,Gentoo,Biscoe,MALE
231,649bc5d39b21a1b93e09868b,Gentoo,Biscoe,FEMALE
232,649bc5d39b21a1b93e09868c,Gentoo,Biscoe,MALE
233,649bc5d39b21a1b93e09868d,Gentoo,Biscoe,FEMALE
234,649bc5d39b21a1b93e09868e,Gentoo,Biscoe,MALE
235,649bc5d39b21a1b93e09868f,Gentoo,Biscoe,FEMALE
236,649bc5d39b21a1b93e098690,Gentoo,Biscoe,MALE
237,649bc5d39b21a1b93e098691,Gentoo,Biscoe,FEMALE
238,649bc5d39b21a1b93e098692,Gentoo,Biscoe,MALE
239,649bc5d39b21a1b93e098693,Gentoo,Biscoe,MALE
240,649bc5d39b21a1b93e098694,Gentoo,Biscoe,FEMALE
241,649bc5d39b21a1b93e098695,Gentoo,Biscoe,FEMALE
242,649bc5d39b21a1b93e098696,Gentoo,Biscoe,MALE
243,649bc5d39b21a1b93e098697,Gentoo,Biscoe,FEMALE
244,649bc5d39b21a1b93e098698,Gentoo,Biscoe,MALE
245,649bc5d39b21a1b93e098699,Gentoo,Biscoe,MALE
246,649bc5d39b21a1b93e09869a,Gentoo,Biscoe,MALE
247,649bc5d39b21a1b93e09869b,Gentoo,Biscoe,FEMALE
248,649bc5d39b21a1b93e09869c,Gentoo,Biscoe,MALE
249,649bc5d39b21a1b93e09869d,Gentoo,Biscoe,MALE
250,649bc5d39b21a1b93e09869e,Gentoo,Biscoe,FEMALE
251,649bc5d39b21a1b93e09869f,Gentoo,Biscoe,FEMALE
252,649bc5d39b21a1b93e0986a0,Gentoo,Biscoe,MALE
253,649bc5d39b21a1b93e0986a1,Gentoo,Biscoe,FEMALE
254,649bc5d39b21a1b93e0986a2,Gentoo,Biscoe,MALE
255,649bc5d39b21a1b93e0986a3,Gentoo,Biscoe,FEMALE
256,649bc5d39b21a1b93e0986a4,Gentoo,Biscoe,MALE
257,649bc5d39b21a1b93e0986a5,Gentoo,Biscoe,FEMALE
258,649bc5d39b21a1b93e0986a6,Gentoo,Biscoe,MALE
259,649bc5d39b21a1b93e0986a7,Gentoo,Biscoe,FEMALE
260,649bc5d39b21a1b93e0986a8,Gentoo,Biscoe,MALE
261,649bc5d39b21a1b93e0986a9,Gentoo,Biscoe,FEMALE
262,649bc5d39b21a1b93e0986aa,Gentoo,Biscoe,MALE
263,649bc5d39b21a1b93e0986ab,Gentoo,Biscoe,MALE
264,649bc5d39b21a1b93e0986ac,Gentoo,Biscoe,FEMALE
265,649bc5d39b21a1b93e0986ad,Gentoo,Biscoe,FEMALE
266,649bc5d39b21a1b93e0986ae,Gentoo,Biscoe,MALE
267,649bc5d39b21a1b93e0986af,Gentoo,Biscoe,FEMALE
268,649bc5d39b21a1b93e0986b0,Gentoo,Biscoe,MALE
269,649bc5d39b21a1b93e0986b1,Gentoo,Biscoe,FEMALE
270,649bc5d39b21a1b93e0986b2,Gentoo,Biscoe,MALE
271,649bc5d39b21a1b93e0986b3,Gentoo,Biscoe,FEMALE
272,649bc5d39b21a1b93e0986b4,Gentoo,Biscoe,MALE
273,649bc5d39b21a1b93e0986b5,Gentoo,Biscoe,FEMALE
274,649bc5d39b21a1b93e0986b6,Gentoo,Biscoe,MALE
275,649bc5d39b21a1b93e0986b7,Gentoo,Biscoe,FEMALE
276,649bc5d39b21a1b93e0986b8,Gentoo,Biscoe,MALE
277,649bc5d39b21a1b93e0986b9,Gentoo,Biscoe,FEMALE
278,649bc5d39b21a1b93e0986ba,Gentoo,Biscoe,MALE
279,649bc5d39b21a1b93e0986bc,Gentoo,Biscoe,FEMALE
280,649bc5d39b21a1b93e0986bb,Gentoo,Biscoe,MALE
281,649bc5d39b21a1b93e0986be,Gentoo,Biscoe,FEMALE
282,649bc5d39b21a1b93e0986bd,Gentoo,Biscoe,MALE
283,649bc5d39b21a1b93e0986bf,Gentoo,Biscoe,FEMALE
284,649bc5d39b21a1b93e0986c0,Gentoo,Biscoe,MALE
285,649bc5d39b21a1b93e0986c1,Gentoo,Biscoe,MALE
286,649bc5d39b21a1b93e0986c2,Gentoo,Biscoe,MALE
287,649bc5d39b21a1b93e0986c3,Gentoo,Biscoe,FEMALE
288,649bc5d39b21a1b93e0986c4,Gentoo,Biscoe,MALE
289,649bc5d39b21a1b93e0986c5,Gentoo,Biscoe,FEMALE
290,649bc5d39b21a1b93e0986c6,Gentoo,Biscoe,MALE
291,649bc5d39b21a1b93e0986c7,Gentoo,Biscoe,MALE
292,649bc5d39b21a1b93e0986c8,Gentoo,Biscoe,FEMALE
293,649bc5d39b21a1b93e0986c9,Gentoo,Biscoe,FEMALE
294,649bc5d39b21a1b93e0986ca,Gentoo,Biscoe,MALE
295,649bc5d39b21a1b93e0986cb,Gentoo,Biscoe,FEMALE
296,649bc5d39b21a1b93e0986cc,Gentoo,Biscoe,MALE
297,649bc5d39b21a1b93e0986cd,Gentoo,Biscoe,FEMALE
298,649bc5d39b21a1b93e0986ce,Gentoo,Biscoe,MALE
299,649bc5d39b21a1b93e0986cf,Gentoo,Biscoe,FEMALE
300,649bc5d39b21a1b93e0986d0,Gentoo,Biscoe,MALE
301,649bc5d39b21a1b93e0986d1,Gentoo,Biscoe,FEMALE
302,649bc5d39b21a1b93e0986d2,Gentoo,Biscoe,MALE
303,649bc5d39b21a1b93e0986d3,Gentoo,Biscoe,FEMALE
304,649bc5d39b21a1b93e0986d4,Gentoo,Biscoe,MALE
305,649bc5d39b21a1b93e0986d5,Gentoo,Biscoe,FEMALE
306,649bc5d39b21a1b93e0986d6,Gentoo,Biscoe,MALE
307,649bc5d39b21a1b93e0986d7,Gentoo,Biscoe,FEMALE
308,649bc5d39b21a1b93e0986d8,Gentoo,Biscoe,MALE
309,649bc5d39b21a1b93e0986d9,Gentoo,Biscoe,FEMALE
310,649bc5d39b21a1b93e0986da,Gentoo,Biscoe,MALE
311,649bc5d39b21a1b93e0986db,Gentoo,Biscoe,FEMALE
312,649bc5d39b21a1b93e0986dc,Gentoo,Biscoe,MALE
313,649bc5d39b21a1b93e0986dd,Gentoo,Biscoe,FEMALE
314,649bc5d39b21a1b93e0986de,Gentoo,Biscoe,MALE
315,649bc5d39b21a1b93e0986df,Gentoo,Biscoe,MALE
316,649bc5d39b21a1b93e0986e0,Gentoo,Biscoe,FEMALE
317,649bc5d39b21a1b93e0986e1,Gentoo,Biscoe,FEMALE
318,649bc5d39b21a1b93e0986e2,Gentoo,Biscoe,MALE
319,649bc5d39b21a1b93e0986e3,Gentoo,Biscoe,FEMALE
320,649bc5d39b21a1b93e0986e4,Gentoo,Biscoe,MALE
321,649bc5d39b21a1b93e0986e5,Gentoo,Biscoe,FEMALE
322,649bc5d39b21a1b93e0986e6,Gentoo,Biscoe,MALE
323,649bc5d39b21a1b93e0986e7,Gentoo,Biscoe,MALE
324,649bc5d39b21a1b93e0986e8,Gentoo,Biscoe,MALE
325,649bc5d39b21a1b93e0986e9,Gentoo,Biscoe,FEMALE
326,649bc5d39b21a1b93e0986ea,Gentoo,Biscoe,MALE
327,649bc5d39b21a1b93e0986eb,Gentoo,Biscoe,FEMALE
328,649bc5d39b21a1b93e0986ec,Gentoo,Biscoe,MALE
329,649bc5d39b21a1b93e0986ed,Gentoo,Biscoe,FEMALE
330,649bc5d39b21a1b93e0986ee,Gentoo,Biscoe,MALE
331,649bc5d39b21a1b93e0986ef,Gentoo,Biscoe,FEMALE
332,649bc5d39b21a1b93e0986f0,Gentoo,Biscoe,MALE
333,649bc5d39b21a1b93e0986f1,Gentoo,Biscoe,FEMALE
334,649bc5d39b21a1b93e0986f2,Gentoo,Biscoe,MALE
335,649bc5d39b21a1b93e0986f3,Gentoo,Biscoe,.
336,649bc5d39b21a1b93e0986f4,Gentoo,Biscoe,MALE
337,649bc5d39b21a1b93e0986f5,Gentoo,Biscoe,FEMALE
338,649bc5d39b21a1b93e0986f7,Gentoo,Biscoe,FEMALE
339,649bc5d39b21a1b93e0986f8,Gentoo,Biscoe,MALE
340,649bc5d39b21a1b93e0986f9,Gentoo,Biscoe,FEMALE
341,649bc5d39b21a1b93e0986fa,Gentoo,Biscoe,MALE
