,uid,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g
181,649bc5d39b21a1b93e098659,40.9,16.6,187,3200
182,649bc5d39b21a1b93e09865a,54.2,20.8,201,4300
183,649bc5d39b21a1b93e09865b,42.5,16.7,187,3350
184,649bc5d39b21a1b93e09865c,51.0,18.8,203,4100
185,649bc5d39b21a1b93e09865d,49.7,18.6,195,3600
186,649bc5d39b21a1b93e09865e,47.5,16.8,199,3900
187,649bc5d39b21a1b93e09865f,47.6,18.3,195,3850
188,649bc5d39b21a1b93e098660,52.0,20.7,210,4800
189,649bc5d39b21a1b93e098662,46.9,16.6,192,2700
190,649bc5d39b21a1b93e098661,53.5,19.9,205,4500
191,649bc5d39b21a1b93e098663,49.0,19.5,210,3950
192,649bc5d39b21a1b93e098664,46.2,17.5,187,3650
193,649bc5d39b21a1b93e098665,50.9,19.1,196,3550
194,649bc5d39b21a1b93e098666,45.5,17.0,196,3500
195,649bc5d39b21a1b93e098667,50.9,17.9,196,3675
196,649bc5d39b21a1b93e098668,50.8,18.5,201,4450
197,649bc5d39b21a1b93e098669,50.1,17.9,190,3400
198,649bc5d39b21a1b93e09866a,49.0,19.6,212,4300
199,649bc5d39b21a1b93e09866b,51.5,18.7,187,3250
200,649bc5d39b21a1b93e09866c,49.8,17.3,198,3675
201,649bc5d39b21a1b93e09866d,48.1,16.4,199,3325
202,649bc5d39b21a1b93e09866e,51.4,19.0,201,3950
203,649bc5d39b21a1b93e09866f,45.7,17.3,193,3600
204,649bc5d39b21a1b93e098670,50.7,19.7,203,4050
205,649bc5d39b21a1b93e098671,42.5,17.3,187,3350
206,649bc5d39b21a1b93e098672,52.2,18.8,197,3450
207,649bc5d39b21a1b93e098673,45.2,16.6,191,3250
208,649bc5d39b21a1b93e098674,49.3,19.9,203,4050
209,649bc5d39b21a1b93e098675,50.2,18.8,202,3800
210,649bc5d39b21a1b93e098676,45.6,19.4,194,3525
211,649bc5d39b21a1b93e098677,51.9,19.5,206,3950
212,649bc5d39b21a1b93e098678,46.8,16.5,189,3650
213,649bc5d39b21a1b93e098679,45.7,17.0,195,3650
214,649bc5d39b21a1b93e09867a,55.8,19.8,207,4000
215,649bc5d39b21a1b93e09867b,43.5,18.1,202,3400
216,649bc5d39b21a1b93e09867c,49.6,18.2,193,3775
217,649bc5d39b21a1b93e09867d,50.8,19.0,210,4100
218,649bc5d39b21a1b93e09867e,50.2,18.7,198,3775
219,649bc5d39b21a1b93e09867f,46.1,13.2,211,4500
220,649bc5d39b21a1b93e098680,50.0,16.3,230,5700
221,649bc5d39b21a1b93e098681,48.7,14.1,210,4450
222,649bc5d39b21a1b93e098682,50.0,15.2,218,5700
223,649bc5d39b21a1b93e098683,47.6,14.5,215,5400
224,649bc5d39b21a1b93e098684,46.5,13.5,210,4550
225,649bc5d39b21a1b93e098685,45.4,14.6,211,4800
226,649bc5d39b21a1b93e098686,46.7,15.3,219,5200
227,649bc5d39b21a1b93e098687,43.3,13.4,209,4400
228,649bc5d39b21a1b93e098688,46.8,15.4,215,5150
229,649bc5d39b21a1b93e098689,40.9,13.7,214,4650
230,649bc5d39b21a1b93e09868a,49.0,16.1,216,5550
231,649bc5d39b21a1b93e09868b,45.5,13.7,214,4650
232,649bc5d39b21a1b93e09868c,48.4,14.6,213,5850
233,649bc5d39b21a1b93e09868d,45.8,14.6,210,4200
234,649bc5d39b21a1b93e09868e,49.3,15.7,217,5850
235,649bc5d39b21a1b93e09868f,42.0,13.5,210,4150
236,649bc5d39b21a1b93e098690,49.2,15.2,221,6300
237,649bc5d39b21a1b93e098691,46.2,14.5,209,4800
238,649bc5d39b21a1b93e098692,48.7,15.1,222,5350
239,649bc5d39b21a1b93e098693,50.2,14.3,218,5700
240,649bc5d39b21a1b93e098694,45.1,14.5,215,5000
241,649bc5d39b21a1b93e098695,46.5,14.5,213,4400
242,649bc5d39b21a1b93e098696,46.3,15.8,215,5050
243,649bc5d39b21a1b93e098697,42.9,13.1,215,5000
244,649bc5d39b21a1b93e098698,46.1,15.1,215,5100
245,649bc5d39b21a1b93e098699,44.5,14.3,216,4100
246,649bc5d39b21a1b93e09869a,47.8,15.0,215,5650
247,649bc5d39b21a1b93e09869b,48.2,14.3,210,4600
248,649bc5d39b21a1b93e09869c,50.0,15.3,220,5550
249,649bc5d39b21a1b93e09869d,47.3,15.3,222,5250
250,649bc5d39b21a1b93e09869e,42.8,14.2,209,4700
251,649bc5d39b21a1b93e09869f,45.1,14.5,207,5050
252,649bc5d39b21a1b93e0986a0,59.6,17.0,230,6050
253,649bc5d39b21a1b93e0986a1,49.1,14.8,220,5150
254,649bc5d39b21a1b93e0986a2,48.4,16.3,220,5400
255,649bc5d39b21a1b93e0986a3,42.6,13.7,213,4950
256,649bc5d39b21a1b93e0986a4,44.4,17.3,219,5250
257,649bc5d39b21a1b93e0986a5,44.0,13.6,208,4350
258,649bc5d39b21a1b93e0986a6,48.7,15.7,208,5350
259,649bc5d39b21a1b93e0986a7,42.7,13.7,208,3950
260,649bc5d39b21a1b93e0986a8,49.6,16.0,225,5700
261,649bc5d39b21a1b93e0986a9,45.3,13.7,210,4300
262,649bc5d39b21a1b93e0986aa,49.6,15.0,216,4750
263,649bc5d39b21a1b93e0986ab,50.5,15.9,222,5550
264,649bc5d39b21a1b93e0986ac,43.6,13.9,217,4900
265,649bc5d39b21a1b93e0986ad,45.5,13.9,210,4200
266,649bc5d39b21a1b93e0986ae,50.5,15.9,225,5400
267,649bc5d39b21a1b93e0986af,44.9,13.3,213,5100
268,649bc5d39b21a1b93e0986b0,45.2,15.8,215,5300
269,649bc5d39b21a1b93e0986b1,46.6,14.2,210,4850
270,649bc5d39b21a1b93e0986b2,48.5,14.1,220,5300
271,649bc5d39b21a1b93e0986b3,45.1,14.4,210,4400
272,649bc5d39b21a1b93e0986b4,50.1,15.0,225,5000
273,649bc5d39b21a1b93e0986b5,46.5,14.4,217,4900
274,649bc5d39b21a1b93e0986b6,45.0,15.4,220,5050
275,649bc5d39b21a1b93e0986b7,43.8,13.9,208,4300
276,649bc5d39b21a1b93e0986b8,45.5,15.0,220,5000
277,649bc5d39b21a1b93e0986b9,43.2,14.5,208,4450
278,649bc5d39b21a1b93e0986ba,50.4,15.3,224,5550
279,649bc5d39b21a1b93e0986bc,45.3,13.8,208,4200
280,649bc5d39b21a1b93e0986bb,46.2,14.9,221,5300
281,649bc5d39b21a1b93e0986be,45.7,13.9,214,4400
282,649bc5d39b21a1b93e0986bd,54.3,15.7,231,5650
283,649bc5d39b21a1b93e0986bf,45.8,14.2,219,4700
284,649bc5d39b21a1b93e0986c0,49.8,16.8,230,5700
285,649bc5d39b21a1b93e0986c1,46.2,14.4,214,4650
286,649bc5d39b21a1b93e0986c2,49.5,16.2,229,5800
287,649bc5d39b21a1b93e0986c3,43.5,14.2,220,4700
288,649bc5d39b21a1b93e0986c4,50.7,15.0,223,5550
289,649bc5d39b21a1b93e0986c5,47.7,15.0,216,4750
290,649bc5d39b21a1b93e0986c6,46.4,15.6,221,5000
291,649bc5d39b21a1b93e0986c7,48.2,15.6,221,5100
292,649bc5d39b21a1b93e0986c8,46.5,14.8,217,5200
293,649bc5d39b21a1b93e0986c9,46.4,15.0,216,4700
294,649bc5d39b21a1b93e0986ca,48.6,16.0,230,5800
295,649bc5d39b21a1b93e0986cb,47.5,14.2,209,4600
296,649bc5d39b21a1b93e0986cc,51.1,16.3,220,6000
297,649bc5d39b21a1b93e0986cd,45.2,13.8,215,4750
298,649bc5d39b21a1b93e0986ce,45.2,16.4,223,5950
299,649bc5d39b21a1b93e0986cf,49.1,14.5,212,4625
300,649bc5d39b21a1b93e0986d0,52.5,15.6,221,5450
301,649bc5d39b21a1b93e0986d1,47.4,14.6,212,4725
302,649bc5d39b21a1b93e0986d2,50.0,15.9,224,5350
303,649bc5d39b21a1b93e0986d3,44.9,13.8,212,4750
304,649bc5d39b21a1b93e0986d4,50.8,17.3,228,5600
305,649bc5d39b21a1b93e0986d5,43.4,14.4,218,4600
306,649bc5d39b21a1b93e0986d6,51.3,14.2,218,5300
307,649bc5d39b21a1b93e0986d7,47.5,14.0,212,4875
308,649bc5d39b21a1b93e0986d8,52.1,17.0,230,5550
309,649bc5d39b21a1b93e0986d9,47.5,15.0,218,4950
310,649bc5d39b21a1b93e0986da,52.2,17.1,228,5400
311,649bc5d39b21a1b93e0986db,45.5,14.5,212,4750
312,649bc5d39b21a1b93e0986dc,49.5,16.1,224,5650
313,649bc5d39b21a1b93e0986dd,44.5,14.7,214,4850
314,649bc5d39b21a1b93e0986de,50.8,15.7,226,5200
315,649bc5d39b21a1b93e0986df,49.4,15.8,216,4925
316,649bc5d39b21a1b93e0986e0,46.9,14.6,222,4875
317,649bc5d39b21a1b93e0986e1,48.4,14.4,203,4625
318,649bc5d39b21a1b93e0986e2,51.1,16.5,225,5250
319,649bc5d39b21a1b93e0986e3,48.5,15.0,219,4850
320,649bc5d39b21a1b93e0986e4,55.9,17.0,228,5600
321,649bc5d39b21a1b93e0986e5,47.2,15.5,215,4975
322,649bc5d39b21a1b93e0986e6,49.1,15.0,228,5500
323,649bc5d39b21a1b93e0986e7,47.3,13.8,216,4725
324,649bc5d39b21a1b93e0986e8,46.8,16.1,215,5500
325,649bc5d39b21a1b93e0986e9,41.7,14.7,210,4700
326,649bc5d39b21a1b93e0986ea,53.4,15.8,219,5500
327,649bc5d39b21a1b93e0986eb,43.3,14.0,208,4575
328,649bc5d39b21a1b93e0986ec,48.1,15.1,209,5500
329,649bc5d39b21a1b93e0986ed,50.5,15.2,216,5000
330,649bc5d39b21a1b93e0986ee,49.8,15.9,229,5950
331,649bc5d39b21a1b93e0986ef,43.5,15.2,213,4650
332,649bc5d39b21a1b93e0986f0,51.5,16.3,230,5500
333,649bc5d39b21a1b93e0986f1,46.2,14.1,217,4375
334,649bc5d39b21a1b93e0986f2,55.1,16.0,230,5850
335,649bc5d39b21a1b93e0986f3,44.5,15.7,217,4875
336,649bc5d39b21a1b93e0986f4,48.8,16.2,222,6000
337,649bc5d39b21a1b93e0986f5,47.2,13.7,214,4925
338,649bc5d39b21a1b93e0986f7,46.8,14.3,215,4850
339,649bc5d39b21a1b93e0986f8,50.4,15.7,222,5750
340,649bc5d39b21a1b93e0986f9,45.2,14.8,212,5200
341,649bc5d39b21a1b93e0986fa,49.9,16.1,213,5400
