uid,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
649bc5d39b21a1b93e0985bd,Adelie,Biscoe,40.6,18.6,183,3550,MALE
649bc5d39b21a1b93e0985be,Adelie,Biscoe,40.5,17.9,187,3200,FEMALE
649bc5d39b21a1b93e0985bf,Adelie,Biscoe,37.9,18.6,172,3150,FEMALE
649bc5d39b21a1b93e0985c0,Adelie,Biscoe,40.5,18.9,180,3950,MALE
649bc5d39b21a1b93e0985c1,Adelie,Dream,39.5,16.7,178,3250,FEMALE
649bc5d39b21a1b93e0985c2,Adelie,Dream,37.2,18.1,178,3900,MALE
649bc5d39b21a1b93e0985c3,Adelie,Dream,39.5,17.8,188,3300,FEMALE
649bc5d39b21a1b93e0985c4,Adelie,Dream,40.9,18.9,184,3900,MALE
649bc5d39b21a1b93e0985c5,Adelie,Dream,36.4,17,195,3325,FEMALE
649bc5d39b21a1b93e0985c6,Adelie,Dream,39.2,21.1,196,4150,MALE
649bc5d39b21a1b93e0985c7,Adelie,Dream,38.8,20,190,3950,MALE
649bc5d39b21a1b93e0985c8,Adelie,Dream,42.2,18.5,180,3550,FEMALE
649bc5d39b21a1b93e0985c9,Adelie,Dream,37.6,19.3,181,3300,FEMALE
649bc5d39b21a1b93e0985ca,Adelie,Dream,39.8,19.1,184,4650,MALE
649bc5d39b21a1b93e0985cb,Adelie,Dream,36.5,18,182,3150,FEMALE
649bc5d39b21a1b93e0985cc,Adelie,Dream,40.8,18.4,195,3900,MALE
649bc5d39b21a1b93e0985cd,Adelie,Dream,36,18.5,186,3100,FEMALE
649bc5d39b21a1b93e0985ce,Adelie,Dream,44.1,19.7,196,4400,MALE
649bc5d39b21a1b93e0985cf,Adelie,Dream,37,16.9,185,3000,FEMALE
649bc5d39b21a1b93e0985d0,Adelie,Dream,39.6,18.8,190,4600,MALE
649bc5d39b21a1b93e0985d1,Adelie,Dream,41.1,19,182,3425,MALE
649bc5d39b21a1b93e0985d2,Adelie,Dream,37.5,18.9,179,2975,MALE
649bc5d39b21a1b93e0985d3,Adelie,Dream,36,17.9,190,3450,FEMALE
649bc5d39b21a1b93e0985d4,Adelie,Dream,42.3,21.2,191,4150,MALE
649bc5d39b21a1b93e0985d5,Adelie,Biscoe,39.6,17.7,186,3500,FEMALE
649bc5d39b21a1b93e0985d6,Adelie,Biscoe,40.1,18.9,188,4300,MALE
649bc5d39b21a1b93e0985d7,Adelie,Biscoe,35,17.9,190,3450,FEMALE
649bc5d39b21a1b93e0985d8,Adelie,Biscoe,42,19.5,200,4050,MALE
649bc5d39b21a1b93e0985d9,Adelie,Biscoe,34.5,18.1,187,2900,FEMALE
649bc5d39b21a1b93e0985da,Adelie,Biscoe,41.4,18.6,191,3700,MALE
649bc5d39b21a1b93e0985db,Adelie,Biscoe,39,17.5,186,3550,FEMALE
649bc5d39b21a1b93e0985dc,Adelie,Biscoe,40.6,18.8,193,3800,MALE
649bc5d39b21a1b93e0985dd,Adelie,Biscoe,36.5,16.6,181,2850,FEMALE
649bc5d39b21a1b93e0985de,Adelie,Biscoe,37.6,19.1,194,3750,MALE
649bc5d39b21a1b93e0985df,Adelie,Biscoe,35.7,16.9,185,3150,FEMALE
649bc5d39b21a1b93e0985e0,Adelie,Biscoe,41.3,21.1,195,4400,MALE
649bc5d39b21a1b93e0985e1,Adelie,Biscoe,37.6,17,185,3600,FEMALE
649bc5d39b21a1b93e0985e2,Adelie,Biscoe,41.1,18.2,192,4050,MALE
649bc5d39b21a1b93e0985e3,Adelie,Biscoe,36.4,17.1,184,2850,FEMALE
649bc5d39b21a1b93e0985e4,Adelie,Biscoe,41.6,18,192,3950,MALE
649bc5d39b21a1b93e0985e5,Adelie,Biscoe,35.5,16.2,195,3350,FEMALE
649bc5d39b21a1b93e0985e6,Adelie,Biscoe,41.1,19.1,188,4100,MALE
649bc5d39b21a1b93e0985e7,Adelie,Torgersen,35.9,16.6,190,3050,FEMALE
649bc5d39b21a1b93e0985e8,Adelie,Torgersen,41.8,19.4,198,4450,MALE
649bc5d39b21a1b93e0985e9,Adelie,Torgersen,33.5,19,190,3600,FEMALE
649bc5d39b21a1b93e0985ea,Adelie,Torgersen,39.7,18.4,190,3900,MALE
649bc5d39b21a1b93e0985eb,Adelie,Torgersen,39.6,17.2,196,3550,FEMALE
649bc5d39b21a1b93e0985ec,Adelie,Torgersen,45.8,18.9,197,4150,MALE
649bc5d39b21a1b93e0985ed,Adelie,Torgersen,35.5,17.5,190,3700,FEMALE
649bc5d39b21a1b93e0985ee,Adelie,Torgersen,42.8,18.5,195,4250,MALE
649bc5d39b21a1b93e0985ef,Adelie,Torgersen,40.9,16.8,191,3700,FEMALE
649bc5d39b21a1b93e0985f0,Adelie,Torgersen,37.2,19.4,184,3900,MALE
649bc5d39b21a1b93e0985f1,Adelie,Torgersen,36.2,16.1,187,3550,FEMALE
649bc5d39b21a1b93e0985f2,Adelie,Torgersen,42.1,19.1,195,4000,MALE
649bc5d39b21a1b93e0985f3,Adelie,Torgersen,34.6,17.2,189,3200,FEMALE
649bc5d39b21a1b93e0985f4,Adelie,Torgersen,42.9,17.6,196,4700,MALE
649bc5d39b21a1b93e0985f5,Adelie,Torgersen,36.7,18.8,187,3800,FEMALE
649bc5d39b21a1b93e0985f6,Adelie,Torgersen,35.1,19.4,193,4200,MALE
649bc5d39b21a1b93e0985f7,Adelie,Dream,37.3,17.8,191,3350,FEMALE
649bc5d39b21a1b93e0985f8,Adelie,Dream,41.3,20.3,194,3550,MALE
649bc5d39b21a1b93e0985f9,Adelie,Dream,36.3,19.5,190,3800,MALE
649bc5d39b21a1b93e0985fa,Adelie,Dream,36.9,18.6,189,3500,FEMALE
649bc5d39b21a1b93e0985fb,Adelie,Dream,38.3,19.2,189,3950,MALE
649bc5d39b21a1b93e0985fc,Adelie,Dream,38.9,18.8,190,3600,FEMALE
649bc5d39b21a1b93e0985fd,Adelie,Dream,35.7,18,202,3550,FEMALE
649bc5d39b21a1b93e0985fe,Adelie,Dream,41.1,18.1,205,4300,MALE
649bc5d39b21a1b93e0985ff,Adelie,Dream,34,17.1,185,3400,FEMALE
649bc5d39b21a1b93e098600,Adelie,Dream,39.6,18.1,186,4450,MALE
649bc5d39b21a1b93e098601,Adelie,Dream,36.2,17.3,187,3300,FEMALE
649bc5d39b21a1b93e098602,Adelie,Dream,40.8,18.9,208,4300,MALE
649bc5d39b21a1b93e098603,Adelie,Dream,38.1,18.6,190,3700,FEMALE
649bc5d39b21a1b93e098604,Adelie,Dream,40.3,18.5,196,4350,MALE
649bc5d39b21a1b93e098605,Adelie,Dream,33.1,16.1,178,2900,FEMALE
649bc5d39b21a1b93e098606,Adelie,Dream,43.2,18.5,192,4100,MALE
649bc5d39b21a1b93e098607,Adelie,Biscoe,35,17.9,192,3725,FEMALE
649bc5d39b21a1b93e098608,Adelie,Biscoe,41,20,203,4725,MALE
649bc5d39b21a1b93e098609,Adelie,Biscoe,37.7,16,183,3075,FEMALE
649bc5d39b21a1b93e09860a,Adelie,Biscoe,37.8,20,190,4250,MALE
649bc5d39b21a1b93e09860b,Adelie,Biscoe,37.9,18.6,193,2925,FEMALE
649bc5d39b21a1b93e09860c,Adelie,Biscoe,39.7,18.9,184,3550,MALE
649bc5d39b21a1b93e09860d,Adelie,Biscoe,38.6,17.2,199,3750,FEMALE
649bc5d39b21a1b93e09860e,Adelie,Biscoe,38.2,20,190,3900,MALE
649bc5d39b21a1b93e09860f,Adelie,Biscoe,38.1,17,181,3175,FEMALE
649bc5d39b21a1b93e098610,Adelie,Biscoe,43.2,19,197,4775,MALE
649bc5d39b21a1b93e098611,Adelie,Biscoe,38.1,16.5,198,3825,FEMALE
649bc5d39b21a1b93e098612,Adelie,Biscoe,45.6,20.3,191,4600,MALE
649bc5d39b21a1b93e098613,Adelie,Biscoe,39.7,17.7,193,3200,FEMALE
649bc5d39b21a1b93e098614,Adelie,Biscoe,42.2,19.5,197,4275,MALE
649bc5d39b21a1b93e098615,Adelie,Biscoe,39.6,20.7,191,3900,FEMALE
649bc5d39b21a1b93e098616,Adelie,Biscoe,42.7,18.3,196,4075,MALE
649bc5d39b21a1b93e098617,Adelie,Torgersen,38.6,17,188,2900,FEMALE
649bc5d39b21a1b93e098618,Adelie,Torgersen,37.3,20.5,199,3775,MALE
649bc5d39b21a1b93e098619,Adelie,Torgersen,35.7,17,189,3350,FEMALE
649bc5d39b21a1b93e09861a,Adelie,Torgersen,41.1,18.6,189,3325,MALE
649bc5d39b21a1b93e09861b,Adelie,Torgersen,36.2,17.2,187,3150,FEMALE
649bc5d39b21a1b93e09861c,Adelie,Torgersen,37.7,19.8,198,3500,MALE
649bc5d39b21a1b93e09861d,Adelie,Torgersen,40.2,17,176,3450,FEMALE
649bc5d39b21a1b93e09861e,Adelie,Torgersen,41.4,18.5,202,3875,MALE
649bc5d39b21a1b93e09861f,Adelie,Torgersen,35.2,15.9,186,3050,FEMALE
649bc5d39b21a1b93e098620,Adelie,Torgersen,40.6,19,199,4000,MALE
649bc5d39b21a1b93e098621,Adelie,Torgersen,38.8,17.6,191,3275,FEMALE
649bc5d39b21a1b93e098622,Adelie,Torgersen,41.5,18.3,195,4300,MALE
649bc5d39b21a1b93e098623,Adelie,Torgersen,39,17.1,191,3050,FEMALE
649bc5d39b21a1b93e098624,Adelie,Torgersen,44.1,18,210,4000,MALE
649bc5d39b21a1b93e098625,Adelie,Torgersen,38.5,17.9,190,3325,FEMALE
649bc5d39b21a1b93e098626,Adelie,Torgersen,43.1,19.2,197,3500,MALE
649bc5d39b21a1b93e098627,Adelie,Dream,36.8,18.5,193,3500,FEMALE
649bc5d39b21a1b93e098628,Adelie,Dream,37.5,18.5,199,4475,MALE
649bc5d39b21a1b93e098629,Adelie,Dream,38.1,17.6,187,3425,FEMALE
649bc5d39b21a1b93e09862a,Adelie,Dream,41.1,17.5,190,3900,MALE
649bc5d39b21a1b93e09862b,Adelie,Dream,35.6,17.5,191,3175,FEMALE
649bc5d39b21a1b93e09862c,Adelie,Dream,40.2,20.1,200,3975,MALE
649bc5d39b21a1b93e09862d,Adelie,Dream,37,16.5,185,3400,FEMALE
649bc5d39b21a1b93e09862e,Adelie,Dream,39.7,17.9,193,4250,MALE
649bc5d39b21a1b93e09862f,Adelie,Dream,40.2,17.1,193,3400,FEMALE
649bc5d39b21a1b93e098630,Adelie,Dream,40.6,17.2,187,3475,MALE
649bc5d39b21a1b93e098631,Adelie,Dream,32.1,15.5,188,3050,FEMALE
649bc5d39b21a1b93e098632,Adelie,Dream,40.7,17,190,3725,MALE
649bc5d39b21a1b93e098633,Adelie,Dream,37.3,16.8,192,3000,FEMALE
649bc5d39b21a1b93e098634,Adelie,Dream,39,18.7,185,3650,MALE
649bc5d39b21a1b93e098635,Adelie,Dream,39.2,18.6,190,4250,MALE
649bc5d39b21a1b93e098636,Adelie,Dream,36.6,18.4,184,3475,FEMALE
649bc5d39b21a1b93e098637,Adelie,Dream,36,17.8,195,3450,FEMALE
649bc5d39b21a1b93e098638,Adelie,Dream,37.8,18.1,193,3750,MALE
649bc5d39b21a1b93e098639,Adelie,Dream,36,17.1,187,3700,FEMALE
649bc5d39b21a1b93e09863a,Adelie,Dream,41.5,18.5,201,4000,MALE
649bc5d39b21a1b93e09863b,Chinstrap,Dream,46.5,17.9,192,3500,FEMALE
649bc5d39b21a1b93e09863c,Chinstrap,Dream,50,19.5,196,3900,MALE
649bc5d39b21a1b93e09863d,Chinstrap,Dream,51.3,19.2,193,3650,MALE
649bc5d39b21a1b93e09863e,Chinstrap,Dream,45.4,18.7,188,3525,FEMALE
649bc5d39b21a1b93e09863f,Chinstrap,Dream,52.7,19.8,197,3725,MALE
649bc5d39b21a1b93e098640,Chinstrap,Dream,45.2,17.8,198,3950,FEMALE
649bc5d39b21a1b93e098641,Chinstrap,Dream,46.1,18.2,178,3250,FEMALE
649bc5d39b21a1b93e098642,Chinstrap,Dream,51.3,18.2,197,3750,MALE
649bc5d39b21a1b93e098643,Chinstrap,Dream,46,18.9,195,4150,FEMALE
649bc5d39b21a1b93e098644,Chinstrap,Dream,51.3,19.9,198,3700,MALE
649bc5d39b21a1b93e098645,Chinstrap,Dream,46.6,17.8,193,3800,FEMALE
649bc5d39b21a1b93e098646,Chinstrap,Dream,51.7,20.3,194,3775,MALE
649bc5d39b21a1b93e098647,Chinstrap,Dream,47,17.3,185,3700,FEMALE
649bc5d39b21a1b93e098648,Chinstrap,Dream,52,18.1,201,4050,MALE
649bc5d39b21a1b93e098649,Chinstrap,Dream,45.9,17.1,190,3575,FEMALE
649bc5d39b21a1b93e09864a,Chinstrap,Dream,50.5,19.6,201,4050,MALE
649bc5d39b21a1b93e09864b,Chinstrap,Dream,50.3,20,197,3300,MALE
649bc5d39b21a1b93e09864c,Chinstrap,Dream,58,17.8,181,3700,FEMALE
649bc5d39b21a1b93e09864d,Chinstrap,Dream,46.4,18.6,190,3450,FEMALE
649bc5d39b21a1b93e09864e,Chinstrap,Dream,49.2,18.2,195,4400,MALE
649bc5d39b21a1b93e09864f,Chinstrap,Dream,42.4,17.3,181,3600,FEMALE
649bc5d39b21a1b93e098650,Chinstrap,Dream,48.5,17.5,191,3400,MALE
649bc5d39b21a1b93e098651,Chinstrap,Dream,43.2,16.6,187,2900,FEMALE
649bc5d39b21a1b93e098652,Chinstrap,Dream,50.6,19.4,193,3800,MALE
649bc5d39b21a1b93e098653,Chinstrap,Dream,46.7,17.9,195,3300,FEMALE
649bc5d39b21a1b93e098654,Chinstrap,Dream,52,19,197,4150,MALE
649bc5d39b21a1b93e098655,Chinstrap,Dream,50.5,18.4,200,3400,FEMALE
649bc5d39b21a1b93e098656,Chinstrap,Dream,49.5,19,200,3800,MALE
649bc5d39b21a1b93e098657,Chinstrap,Dream,46.4,17.8,191,3700,FEMALE
649bc5d39b21a1b93e098658,Chinstrap,Dream,52.8,20,205,4550,MALE
649bc5d39b21a1b93e098659,Chinstrap,Dream,40.9,16.6,187,3200,FEMALE
649bc5d39b21a1b93e09865a,Chinstrap,Dream,54.2,20.8,201,4300,MALE
649bc5d39b21a1b93e09865b,Chinstrap,Dream,42.5,16.7,187,3350,FEMALE
649bc5d39b21a1b93e09865c,Chinstrap,Dream,51,18.8,203,4100,MALE
649bc5d39b21a1b93e09865d,Chinstrap,Dream,49.7,18.6,195,3600,MALE
649bc5d39b21a1b93e09865e,Chinstrap,Dream,47.5,16.8,199,3900,FEMALE
649bc5d39b21a1b93e09865f,Chinstrap,Dream,47.6,18.3,195,3850,FEMALE
649bc5d39b21a1b93e098660,Chinstrap,Dream,52,20.7,210,4800,MALE
649bc5d39b21a1b93e098662,Chinstrap,Dream,46.9,16.6,192,2700,FEMALE
649bc5d39b21a1b93e098661,Chinstrap,Dream,53.5,19.9,205,4500,MALE
649bc5d39b21a1b93e098663,Chinstrap,Dream,49,19.5,210,3950,MALE
649bc5d39b21a1b93e098664,Chinstrap,Dream,46.2,17.5,187,3650,FEMALE
649bc5d39b21a1b93e098665,Chinstrap,Dream,50.9,19.1,196,3550,MALE
649bc5d39b21a1b93e098666,Chinstrap,Dream,45.5,17,196,3500,FEMALE
649bc5d39b21a1b93e098667,Chinstrap,Dream,50.9,17.9,196,3675,FEMALE
649bc5d39b21a1b93e098668,Chinstrap,Dream,50.8,18.5,201,4450,MALE
649bc5d39b21a1b93e098669,Chinstrap,Dream,50.1,17.9,190,3400,FEMALE
649bc5d39b21a1b93e09866a,Chinstrap,Dream,49,19.6,212,4300,MALE
649bc5d39b21a1b93e09866b,Chinstrap,Dream,51.5,18.7,187,3250,MALE
649bc5d39b21a1b93e09866c,Chinstrap,Dream,49.8,17.3,198,3675,FEMALE
649bc5d39b21a1b93e09866d,Chinstrap,Dream,48.1,16.4,199,3325,FEMALE
649bc5d39b21a1b93e09866e,Chinstrap,Dream,51.4,19,201,3950,MALE
649bc5d39b21a1b93e09866f,Chinstrap,Dream,45.7,17.3,193,3600,FEMALE
649bc5d39b21a1b93e098670,Chinstrap,Dream,50.7,19.7,203,4050,MALE
649bc5d39b21a1b93e098671,Chinstrap,Dream,42.5,17.3,187,3350,FEMALE
649bc5d39b21a1b93e098672,Chinstrap,Dream,52.2,18.8,197,3450,MALE
649bc5d39b21a1b93e098673,Chinstrap,Dream,45.2,16.6,191,3250,FEMALE
649bc5d39b21a1b93e098674,Chinstrap,Dream,49.3,19.9,203,4050,MALE
649bc5d39b21a1b93e098675,Chinstrap,Dream,50.2,18.8,202,3800,MALE
649bc5d39b21a1b93e098676,Chinstrap,Dream,45.6,19.4,194,3525,FEMALE
649bc5d39b21a1b93e098677,Chinstrap,Dream,51.9,19.5,206,3950,MALE
649bc5d39b21a1b93e098678,Chinstrap,Dream,46.8,16.5,189,3650,FEMALE
649bc5d39b21a1b93e098679,Chinstrap,Dream,45.7,17,195,3650,FEMALE
649bc5d39b21a1b93e09867a,Chinstrap,Dream,55.8,19.8,207,4000,MALE
649bc5d39b21a1b93e09867b,Chinstrap,Dream,43.5,18.1,202,3400,FEMALE
649bc5d39b21a1b93e09867c,Chinstrap,Dream,49.6,18.2,193,3775,MALE
649bc5d39b21a1b93e09867d,Chinstrap,Dream,50.8,19,210,4100,MALE
649bc5d39b21a1b93e09867e,Chinstrap,Dream,50.2,18.7,198,3775,FEMALE
649bc5d39b21a1b93e09867f,Gentoo,Biscoe,46.1,13.2,211,4500,FEMALE
649bc5d39b21a1b93e098680,Gentoo,Biscoe,50,16.3,230,5700,MALE
649bc5d39b21a1b93e098681,Gentoo,Biscoe,48.7,14.1,210,4450,FEMALE
649bc5d39b21a1b93e098682,Gentoo,Biscoe,50,15.2,218,5700,MALE
649bc5d39b21a1b93e098683,Gentoo,Biscoe,47.6,14.5,215,5400,MALE
649bc5d39b21a1b93e098684,Gentoo,Biscoe,46.5,13.5,210,4550,FEMALE
649bc5d39b21a1b93e098685,Gentoo,Biscoe,45.4,14.6,211,4800,FEMALE
649bc5d39b21a1b93e098686,Gentoo,Biscoe,46.7,15.3,219,5200,MALE
649bc5d39b21a1b93e098687,Gentoo,Biscoe,43.3,13.4,209,4400,FEMALE
649bc5d39b21a1b93e098688,Gentoo,Biscoe,46.8,15.4,215,5150,MALE
649bc5d39b21a1b93e098689,Gentoo,Biscoe,40.9,13.7,214,4650,FEMALE
649bc5d39b21a1b93e09868a,Gentoo,Biscoe,49,16.1,216,5550,MALE
649bc5d39b21a1b93e09868b,Gentoo,Biscoe,45.5,13.7,214,4650,FEMALE
649bc5d39b21a1b93e09868c,Gentoo,Biscoe,48.4,14.6,213,5850,MALE
649bc5d39b21a1b93e09868d,Gentoo,Biscoe,45.8,14.6,210,4200,FEMALE
649bc5d39b21a1b93e09868e,Gentoo,Biscoe,49.3,15.7,217,5850,MALE
649bc5d39b21a1b93e09868f,Gentoo,Biscoe,42,13.5,210,4150,FEMALE
649bc5d39b21a1b93e098690,Gentoo,Biscoe,49.2,15.2,221,6300,MALE
649bc5d39b21a1b93e098691,Gentoo,Biscoe,46.2,14.5,209,4800,FEMALE
649bc5d39b21a1b93e098692,Gentoo,Biscoe,48.7,15.1,222,5350,MALE
649bc5d39b21a1b93e098693,Gentoo,Biscoe,50.2,14.3,218,5700,MALE
649bc5d39b21a1b93e098694,Gentoo,Biscoe,45.1,14.5,215,5000,FEMALE
649bc5d39b21a1b93e098695,Gentoo,Biscoe,46.5,14.5,213,4400,FEMALE
649bc5d39b21a1b93e098696,Gentoo,Biscoe,46.3,15.8,215,5050,MALE
649bc5d39b21a1b93e098697,Gentoo,Biscoe,42.9,13.1,215,5000,FEMALE
649bc5d39b21a1b93e098698,Gentoo,Biscoe,46.1,15.1,215,5100,MALE
649bc5d39b21a1b93e098699,Gentoo,Biscoe,44.5,14.3,216,4100,MALE
649bc5d39b21a1b93e09869a,Gentoo,Biscoe,47.8,15,215,5650,MALE
649bc5d39b21a1b93e09869b,Gentoo,Biscoe,48.2,14.3,210,4600,FEMALE
649bc5d39b21a1b93e09869c,Gentoo,Biscoe,50,15.3,220,5550,MALE
649bc5d39b21a1b93e09869d,Gentoo,Biscoe,47.3,15.3,222,5250,MALE
649bc5d39b21a1b93e09869e,Gentoo,Biscoe,42.8,14.2,209,4700,FEMALE
649bc5d39b21a1b93e09869f,Gentoo,Biscoe,45.1,14.5,207,5050,FEMALE
649bc5d39b21a1b93e0986a0,Gentoo,Biscoe,59.6,17,230,6050,MALE
649bc5d39b21a1b93e0986a1,Gentoo,Biscoe,49.1,14.8,220,5150,FEMALE
649bc5d39b21a1b93e0986a2,Gentoo,Biscoe,48.4,16.3,220,5400,MALE
649bc5d39b21a1b93e0986a3,Gentoo,Biscoe,42.6,13.7,213,4950,FEMALE
649bc5d39b21a1b93e0986a4,Gentoo,Biscoe,44.4,17.3,219,5250,MALE
649bc5d39b21a1b93e0986a5,Gentoo,Biscoe,44,13.6,208,4350,FEMALE
649bc5d39b21a1b93e0986a6,Gentoo,Biscoe,48.7,15.7,208,5350,MALE
649bc5d39b21a1b93e0986a7,Gentoo,Biscoe,42.7,13.7,208,3950,FEMALE
649bc5d39b21a1b93e0986a8,Gentoo,Biscoe,49.6,16,225,5700,MALE
649bc5d39b21a1b93e0986a9,Gentoo,Biscoe,45.3,13.7,210,4300,FEMALE
649bc5d39b21a1b93e0986aa,Gentoo,Biscoe,49.6,15,216,4750,MALE
649bc5d39b21a1b93e0986ab,Gentoo,Biscoe,50.5,15.9,222,5550,MALE
649bc5d39b21a1b93e0986ac,Gentoo,Biscoe,43.6,13.9,217,4900,FEMALE
649bc5d39b21a1b93e0986ad,Gentoo,Biscoe,45.5,13.9,210,4200,FEMALE
649bc5d39b21a1b93e0986ae,Gentoo,Biscoe,50.5,15.9,225,5400,MALE
649bc5d39b21a1b93e0986af,Gentoo,Biscoe,44.9,13.3,213,5100,FEMALE
649bc5d39b21a1b93e0986b0,Gentoo,Biscoe,45.2,15.8,215,5300,MALE
649bc5d39b21a1b93e0986b1,Gentoo,Biscoe,46.6,14.2,210,4850,FEMALE
649bc5d39b21a1b93e0986b2,Gentoo,Biscoe,48.5,14.1,220,5300,MALE
649bc5d39b21a1b93e0986b3,Gentoo,Biscoe,45.1,14.4,210,4400,FEMALE
649bc5d39b21a1b93e0986b4,Gentoo,Biscoe,50.1,15,225,5000,MALE
649bc5d39b21a1b93e0986b5,Gentoo,Biscoe,46.5,14.4,217,4900,FEMALE
649bc5d39b21a1b93e0986b6,Gentoo,Biscoe,45,15.4,220,5050,MALE
649bc5d39b21a1b93e0986b7,Gentoo,Biscoe,43.8,13.9,208,4300,FEMALE
649bc5d39b21a1b93e0986b8,Gentoo,Biscoe,45.5,15,220,5000,MALE
649bc5d39b21a1b93e0986b9,Gentoo,Biscoe,43.2,14.5,208,4450,FEMALE
649bc5d39b21a1b93e0986ba,Gentoo,Biscoe,50.4,15.3,224,5550,MALE
649bc5d39b21a1b93e0986bc,Gentoo,Biscoe,45.3,13.8,208,4200,FEMALE
649bc5d39b21a1b93e0986bb,Gentoo,Biscoe,46.2,14.9,221,5300,MALE
649bc5d39b21a1b93e0986be,Gentoo,Biscoe,45.7,13.9,214,4400,FEMALE
649bc5d39b21a1b93e0986bd,Gentoo,Biscoe,54.3,15.7,231,5650,MALE
649bc5d39b21a1b93e0986bf,Gentoo,Biscoe,45.8,14.2,219,4700,FEMALE
649bc5d39b21a1b93e0986c0,Gentoo,Biscoe,49.8,16.8,230,5700,MALE
649bc5d39b21a1b93e0986c1,Gentoo,Biscoe,46.2,14.4,214,4650,MALE
649bc5d39b21a1b93e0986c2,Gentoo,Biscoe,49.5,16.2,229,5800,MALE
649bc5d39b21a1b93e0986c3,Gentoo,Biscoe,43.5,14.2,220,4700,FEMALE
649bc5d39b21a1b93e0986c4,Gentoo,Biscoe,50.7,15,223,5550,MALE
649bc5d39b21a1b93e0986c5,Gentoo,Biscoe,47.7,15,216,4750,FEMALE
649bc5d39b21a1b93e0986c6,Gentoo,Biscoe,46.4,15.6,221,5000,MALE
649bc5d39b21a1b93e0986c7,Gentoo,Biscoe,48.2,15.6,221,5100,MALE
649bc5d39b21a1b93e0986c8,Gentoo,Biscoe,46.5,14.8,217,5200,FEMALE
649bc5d39b21a1b93e0986c9,Gentoo,Biscoe,46.4,15,216,4700,FEMALE
649bc5d39b21a1b93e0986ca,Gentoo,Biscoe,48.6,16,230,5800,MALE
649bc5d39b21a1b93e0986cb,Gentoo,Biscoe,47.5,14.2,209,4600,FEMALE
649bc5d39b21a1b93e0986cc,Gentoo,Biscoe,51.1,16.3,220,6000,MALE
649bc5d39b21a1b93e0986cd,Gentoo,Biscoe,45.2,13.8,215,4750,FEMALE
649bc5d39b21a1b93e0986ce,Gentoo,Biscoe,45.2,16.4,223,5950,MALE
649bc5d39b21a1b93e0986cf,Gentoo,Biscoe,49.1,14.5,212,4625,FEMALE
649bc5d39b21a1b93e0986d0,Gentoo,Biscoe,52.5,15.6,221,5450,MALE
649bc5d39b21a1b93e0986d1,Gentoo,Biscoe,47.4,14.6,212,4725,FEMALE
649bc5d39b21a1b93e0986d2,Gentoo,Biscoe,50,15.9,224,5350,MALE
649bc5d39b21a1b93e0986d3,Gentoo,Biscoe,44.9,13.8,212,4750,FEMALE
649bc5d39b21a1b93e0986d4,Gentoo,Biscoe,50.8,17.3,228,5600,MALE
